WP,FlatMassQCDEff_0p25,FlatMassQCDEff_0p30,FlatMassQCDEff_0p37,FlatMassQCDEff_0p46,FlatMassQCDEff_0p58,FlatMassQCDEff_0p74,FlatMassQCDEff_0p94,FlatMassQCDEff_1p25,FlatMassQCDEff_1p55
( M()>=67.0 && M() < 68.0),4.330497545347173,4.128527977023432,3.9126131525643464,3.6749947655385986,3.3890007087568574,3.042250675606612,2.6952545071745813,2.236380150408165,1.9100494994540989
( M()>=68.0 && M() < 69.0),4.340685192140248,4.139770554337349,3.924356604673334,3.687357293136918,3.401646735722789,3.054305194916226,2.704723906605373,2.2442706332999314,1.9151383633835928
( M()>=69.0 && M() < 70.0),4.350217906462879,4.150520861601613,3.935606732673476,3.699295253185635,3.4139828350608767,3.0662237516951705,2.7141245488558168,2.2523069749105264,1.9203578945669255
( M()>=70.0 && M() < 71.0),4.359182990138374,4.160858578467792,3.9464409944233982,3.710855299291385,3.4260343330749574,3.0780332720867274,2.723476728877523,2.2604836773839843,1.9257040490366917
( M()>=71.0 && M() < 72.0),4.367667744990043,4.170863384587448,3.9569368477817273,3.7220840850608035,3.437826556068864,3.0897606822341803,2.7328007416221007,2.268795242864336,1.9311727828254854
( M()>=72.0 && M() < 73.0),4.375757080979049,4.180611731528465,3.967169177700717,3.7330263002454327,3.449383693459861,3.101434292941974,2.7421209232873207,2.277243487969708,1.9367677563049908
( M()>=73.0 && M() < 74.0),4.3835250060900846,4.19016535743037,3.9772011419665,3.7437176834530113,3.460724752798585,3.1130887262241913,2.7514800298493265,2.2858635682899657,1.9425277458019117
( M()>=74.0 && M() < 75.0),4.39104242391877,4.199581810714765,3.9870925589995005,3.7541914244109855,3.471867266074779,3.124760401241541,2.76092606240278,2.294700132843975,1.9485015270762929
( M()>=75.0 && M() < 76.0),4.398380237836094,4.208918639500088,3.9969032469785093,3.764480712662364,3.4828287651714143,3.1364857372847714,2.7705070224218704,2.303797831337532,1.9547378766117283
( M()>=76.0 && M() < 77.0),4.40560935121305,4.218233391904782,4.006693024082321,3.77461873775016,3.4936267819714644,3.148301153644632,2.7802709113807933,2.3132013134764375,1.9612855708918118
( M()>=77.0 && M() < 78.0),4.412796709178004,4.227579399755173,4.016517643869524,3.7846362370537032,3.504277384534258,3.1602386441735124,2.7902599569642246,2.3229500685585127,1.96818876099316
( M()>=78.0 && M() < 79.0),4.419978312388172,4.236977033045271,4.026401083796376,3.794544777599346,3.514785197141456,3.1722956058426357,2.8004712489307124,2.333043243206558,1.9754554378106
( M()>=79.0 && M() < 80.0),4.427175601792151,4.246431152870192,4.036352370319037,3.8043469065548616,3.525149459653458,3.1844531574161583,2.810880639155981,2.343461002378102,1.9830765784820243
( M()>=80.0 && M() < 81.0),4.434409933499656,4.255946529955283,4.046380442774749,3.814045118529643,3.535369380555843,3.196692322805729,2.821463855763406,2.3541834004252213,1.9910430610068013
( M()>=81.0 && M() < 82.0),4.441702663620403,4.265527935025888,4.05649424050076,3.823641908133085,3.545444168334189,3.208994125923,2.8321966268763648,2.365190491699992,1.9993457633842997
( M()>=82.0 && M() < 83.0),4.449073230167861,4.2751782757844445,4.066700780383506,3.833138750414317,3.55537238405998,3.221337167688383,2.8430522788636474,2.3764592751351463,2.0079724674760313
( M()>=83.0 && M() < 84.0),4.456513336350437,4.284873521464005,4.076979281539561,3.842522378041732,3.5651432274894264,3.233665013663869,2.8539694098080357,2.387922569680403,2.016866186389202
( M()>=84.0 && M() < 85.0),4.463993818390627,4.294569373455096,4.087288048726393,3.8517684318786656,3.5747388551551245,3.2458948696685406,2.8648604890831453,2.399479954351696,2.0259362503201817
( M()>=85.0 && M() < 86.0),4.471485002929228,4.304221038197916,4.0975848759629,3.8608522819213067,3.5841412515908084,3.257943297804056,2.875637347987114,2.4110301964300076,2.0350911669126766
( M()>=86.0 && M() < 87.0),4.4789572166070375,4.313783722132661,4.107827557267982,3.8697492981658472,3.593332401330212,3.2697268601720717,2.886211817818083,2.422472063196323,2.0442394438103944
( M()>=87.0 && M() < 88.0),4.486380455567579,4.323212391759624,4.117973596783253,3.878434748457596,3.6022942019624256,3.2811624052988173,2.896496278061682,2.433704881401704,2.0532901303283966
( M()>=88.0 && M() < 89.0),4.493714160862837,4.332454350618334,4.127971240839552,3.886880638249182,3.6110057743254482,3.292175929252114,2.906420615667397,2.4446458455931634,2.0621695751397824
( M()>=89.0 && M() < 90.0),4.500905258273921,4.341447816203977,4.13775775869477,3.8950551047436806,3.6194429468375082,3.3027042744255155,2.9159354763485683,2.4552333363307075,2.070824638928489
( M()>=90.0 && M() < 91.0),4.507899947479421,4.350130478863774,4.1472697827464104,3.902926060718683,3.6275813568994515,3.3126849124873647,2.9249927101864555,2.4654069633301106,2.07920337243042
( M()>=91.0 && M() < 92.0),4.514644428157923,4.358440028944934,4.1564439453919775,3.9104614189517766,3.6353966419121235,3.322055315106003,2.933544167262313,2.475106336307144,2.087253826381477
( M()>=92.0 && M() < 93.0),4.521084936617019,4.366314221927355,4.165216934481027,3.917629136319516,3.642864462225864,3.330753071399399,2.9415417481444788,2.4842710643126784,2.0949240657535633
( M()>=93.0 && M() < 94.0),4.527171698503339,4.37369790702331,4.173531477259039,3.924401972606355,3.6499629776672724,3.3387285621637934,2.9489428520519954,2.49284068398164,2.102163705990319
( M()>=94.0 && M() < 95.0),4.5328624599399445,4.3805493061483265,4.181341686099254,3.9307617417671907,3.656675059934286,3.3459562823441185,2.9557152439493493,2.5007545954345103,2.108925285397048
( M()>=95.0 && M() < 96.0),4.53811580019007,4.38682812268476,4.188602934652365,3.9366912608041673,3.6629841027196015,3.3524133983205977,2.9618278371483555,2.507952183668303,2.1151616660821415
( M()>=96.0 && M() < 97.0),4.542890298516954,4.392494060014968,4.195270596569073,3.942173346719432,3.6688734997159247,3.3580770764734598,2.9672495449608296,2.514372833680037,2.120825710153993
( M()>=97.0 && M() < 98.0),4.547144538167514,4.397506826459965,4.201300050309811,3.947190819395056,3.6743266465281583,3.3629244888178063,2.9719492852120637,2.5199559365376163,2.125870285253662
